douban_id,title,directors,scriptwriters,actors,types,release_region,release_date,alias,languages,duration,score,description,tags
1308255,"麦克阿瑟传 MacArthur",约瑟夫·萨金特,哈尔·巴伍德,"格利高里·派克,丹·奥赫里奇","剧情,传记,历史,战争",美国,1977-06-30,,英语,"130 分钟",6.7,本片由「巴顿将军」幕后原班人马制作。葛雷哥莱毕克（GregoryPeck）在本片中将已成传奇的麦克阿瑟将军，演活成一个有血有肉的凡人。将这位一代名将如何从战胜日韩，最后被总统逼退的心路历程表达得淋漓尽致,"传记,美国,战争,军事,麦克阿瑟,格里高利·派克,美国电影,GregoryPeck"
1308254,侠骨仁心,邓特希,邓特希,"梁朝伟,李嘉欣,钟镇涛,关咏荷,冯德伦,杨恭如,周嘉玲,张文慈,吕颂贤,尹扬明","剧情,爱情",香港,2001-02-12(香港),"Healing Hearts",粤语,"107 分钟",6.7,Lawrence（梁朝伟饰）是一位颇有建树的脑科医生，Paul（钟镇涛饰）是其同事兼好友。不幸的是，脑科医生Paul的女友Jackie（李嘉欣饰）却在一次意外中脑部受伤，成了植物人。Paul日复一日的守在昏迷的女友身边，盼望她能够突然转醒。终于有一天，Jackie苏醒了，但是令她醒来的却是Lawrence。苏醒后的Jackie性格大异于前，不仅拒绝疏远Paul，还想找寻一个新的环境重新开始。Lawrence同意Jackie与他合住直至Jackie找到新工作。两人在同一屋檐下，日久生情，一段新的恋情就此展开。但不幸却再次降临，Jackie脑部竟出现肿瘤，随时有可能因此丧命。Jackie能再次从病魔手中逃走吗？面对不幸，Lawrence和Jackie爱情会发生什么变化？,"梁朝伟,香港,香港电影,爱情,李嘉欣,2000,钟镇涛,侠骨仁心"
1308253,,,,NULL,NULL,,NULL,,,0,0,,
1308252,江湖告急,林超贤,,"梁家辉,吴君如,陈奕迅,黄秋生,张耀扬,谷祖琳,陈辉虹,彭敬慈,罗兰,曾志伟","喜剧,犯罪",香港,2000-09-21(香港),"舞尽人生,Jiang hu: The Triad Zone",粤语,"111 分钟",7.6,"纵横江湖二十年的黑帮大佬任因久（梁家辉）因行事夸张不择手段，树敌无数。其潜在警方中做卧底的手下叶伟信（陈奕迅）某次查案时，得知有人要置他于死地放风给他，不想被他当作无聊笑话摇头摆手。

　　直到某次正在理发时一颗从暗处飞来的子弹在他头发上留下焦坑，任因久才相信的确有人要取他性命，即刻以“江湖告急”的戏言，传令召开江湖大会。而叶伟信接手调查后，提醒任因久以古龙笔下的名句“最大的敌人永远是你身边的朋友”来将嫌疑人列表，结果老婆苏花（吴君如）第一个出现在任因久脑海。","香港,梁家辉,黑色幽默,香港电影,黑帮,林超贤,吴君如,黄秋生"
1308251,"爱不适打 Sólo mía","Javier Balaguer",,"塞吉·洛佩兹,帕兹·维嘉,埃尔薇拉·明戈斯,布兰卡·波蒂洛,María José Alfonso,亚松森·巴拉格尔,吉内斯·加西亚·米晏",剧情,西班牙,2003-04-13,"Mine Alone,愛得太狂",西班牙语,"Brazil: 100 分钟",7.1,"西班牙近年最具写实震撼力的家庭暴力电影，以倒叙形式纪录夫妻由一见钟情变成拳头怨侣的痛爱过程。一次比一次的残酷暴力，震撼人心。已说不清当初一见锺情的模样，只记起第一次的争吵，第一次出手伤人。妻子因循保守的家庭教养，以为哑忍了事却只换来更残苛的暴力。

　　和所有隐藏着暴力的家庭一样，Angela和Joaquin最初也曾经是令人羡慕的一对，他们通过工作关系而认识，一见钟情，很快举行婚礼。他们第一次吵架是因为Angela在怀孕期间抽烟，Joaquin第一次出手伤人也是因为Angela的抽烟，然后是更多的吵架，更多地打人，和转瞬即忘的忏悔。当然到后来，Joaquin打妻子的理由已经越来越多了：偷看Angela大学朋友的来信而吃醋，因为Angela不想与他做爱而恼羞成怒，凡此种种。

　　Angela也没有更多地选择，因为在西班牙的法律中，Joaquin的惩罚最多只是被...","西班牙,西班牙电影,PazVega,暴力,Javier_Balaguer,爱情,2001,剧情"
1308250,"无声火 บางกอกแดนเจอรัส: เพชฌฆาตเงียบ อันตราย",彭发,彭发,"Pawalit Mongkolpisit Premsinee Ratanasopha Patharawarin Timkul,Pisek Intrakanchit,Korkiate Limpapat Piya Boonnak","动作,爱情,惊悚,犯罪",泰国,2003-02-20,"Bangkok Dangerous",泰语,"105 分钟",7.2,"刚（PawalitMongkolpisit）生来就失去了声音和听觉，一直生活在沉默和寂静之中，特殊的身份让他饱受他人的欺凌，刚的性格亦因此而变得冷漠自闭。某日，刚在一间枪击会所中找到了一份清洁工的职务，就此结识了侠肝义胆的祖（PisekIntrakanchit饰），祖一直保护着刚，教他使用枪械，训练体能，两人成为了挚友，共同成为了杀手，想要在业内干出一番大事业。

　　之后，刚遇见了美丽温柔的芳（PremsineeRatanasopha饰），两人相知相爱，感情十分要好。就在刚以为幸福的生活就要来临之际，传来了祖被仇家杀死的噩耗，悲痛和愤怒之中，刚只能放下和芳之间的感情，拿起冰冷的枪，为自己的好兄弟报仇。","彭氏兄弟,泰国,动作,犯罪,泰国电影,爱情,无声火,人性"
1308249,"太阳之旅 Journey To The Sun","Yesim Ustaoglu",耶斯姆·乌丝达奥古,"Nazmi Kirik,Newroz Baz,Mizgin Kapazan",剧情,"土耳其,荷兰,德国",1999-11-19,"Journey to the Sun","土耳其语,Kurdish,荷兰语","104 分钟",7.5,"来自土耳其西部泰亚德默罕默特（NewrozBaz饰）偶然结识来自东部的库尔德人巴赞（NazmiKirik饰），两人成为好朋友。不久，默罕默特因为帮助巴赞躲避种族分子的攻击，而被当作库尔德人投入监狱。出狱后，他失去辛苦得来的工作，而巴赞也死于非命。默罕默特带着好友的尸体，他上遥远而充满艰辛的归乡之路……

　　本片荣获1999年安卡拉国际电影节最佳影片奖、1999年柏林国际电影节蓝天使奖和和平电影奖、1999年伊斯坦布尔电影节最佳电影奖、最佳导演奖、FIPRESCI奖、观众评选奖；1999年Manaki兄弟国际电影节金相机300奖。","土耳其,土耳其电影,Yesim_Ustaoglu,1999,1990s,YesimUstaoglu,文艺片,德国"
1308248,"我爱夜来香 我愛夜來香",泰迪·罗宾,黄百鸣,"林子祥,林青霞,泰迪·罗宾,徐克","喜剧,动作",香港,1983-03-31,,粤语,"102 分钟",7.4,"二战时期，纳粹铁蹄蹂躏世界每一个角落。德国科学家研制出一种铀分裂的超级武器，该武器可导致人类灭亡。犹太人科学家哈巴枸偷偷将超级武器的图纸带出德国，逃往美利坚，得知消息的希特勒派出盖世太保追杀。哈巴枸只得转道香港，与美国特工接头。

　　为了确保这张代号为“野兽”的图纸安全交接，中国最高间谍“天字第一号”（林青霞饰）委托夜来香事务所的私人侦探夜来香（林子祥饰）为哈巴枸保驾护航。正愁无米下锅的夜来香认为这是一个赚钱的好机会，但等待他的则是一场紧张刺激却又笑料不断的图纸争夺战……","香港,林青霞,喜剧,香港电影,徐克,林子祥,泰迪罗宾,1983"
1308247,"非常小特务2 Spy Kids 2: Island of Lost Dreams",罗伯特·罗德里格兹,罗伯特·罗德里格兹,"达里尔·沙巴拉,阿丽夏·维加,安东尼奥·班德拉斯,卡拉·古奇诺,史蒂夫·布西密","喜剧,动作,科幻,家庭,冒险",美国,2002-08-07,"特工神童2,特务SK2,SK-2恶梦岛",英语,"100 分钟",6.2,国际特工组织OSS将朱尼和卡门姐弟俩派到迪斯尼乐园里完成一件重要任务，事情是这样的：总统的独生女亚历克桑德拉因为长久以来得不到父亲的关爱而心生怨言，于是偷走了被称作“TRANSMOOKER”的国家防御系统电脑芯片，紧接着，许许多多的追杀跟随而至……,"科幻,美国,喜剧,儿童,动作,美国电影,间谍,2002"
1308246,"追凶二十年 追凶20年","麦兆辉 (Siu Fai Mak)",陈淑贤,"周海媚,谢君豪,张达明,李灿森","惊悚,恐怖",香港,1998-04-23,"Jui hung 20 nin,Chasing Criminal 20 Years",粤语,"Germany: 88 分钟",6.8,陈静仪（周海媚饰）是一名高级督察，母亲在20年前被变态凶徒残忍奸杀了，成为警察的她务求能找到凶手。此时，相同手法的杀人案件出现了，静仪内心再起波澜以外，极力追寻真凶。众多追求者的静仪，与同是警察的有妇之夫发展了一段暧昧关系。但她并没有忘了要将凶徒绳之于法。但在她不断追捕的过程中，渐渐落入了凶手的圈套了……,"香港,香港电影,悬疑,惊悚,谢君豪,周海媚,麦兆辉,李灿森"
